Place of Origin,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Bolivia,876,897,953,1 051,1 004,1 008,995,993,964,1 067,1 039,977,1 025,1 024,1 068,1 116,1 142,1 207,1 153,1 195,1 199,1 124,1 285,1 332
Brazil,8 600,8 846,8 972,8 388,7 799,7 244,7 009,7 126,7 578,8 767,8 786,8 777,9 029,10 868,13 286,23 675,19 370,13 089,14 620,16 059,16 671,14 000,14 897,16 025
Chile,1 429,1 553,1 655,1 723,1 612,1 559,1 550,1 570,1 685,1 953,2 055,2 164,2 203,2 349,2 432,2 513,2 630,2 523,2 528,2 699,2 483,2 227,2 750,3 007
Colombia,6 277,6 765,8 068,7 771,7 533,7 334,6 835,6 750,6 662,7 013,6 920,6 456,6 295,6 543,7 083,7 169,7 815,7 982,7 976,8 060,7 787,7 107,8 077,9 096
Ecuador,1 939,2 028,2 364,2 398,2 345,2 177,2 173,2 211,2 152,2 268,2 232,2 150,2 160,2 299,2 578,2 797,2 889,3 032,3 050,2 892,2 852,2 515,2 781,3 090
French Guiana,8,5,6,4,1,3,3,2,8,4,2,28,1,4,2,11,7,1,3,7,7,4,3,13
Guyana,496,409,359,503,503,441,349,343,300,280,296,272,224,206,246,230,246,250,296,311,301,358,326,380
Paraguay,304,371,375,418,343,305,321,340,377,380,340,322,342,395,492,505,564,587,590,619,609,804,714,732
Peru,2 785,2 660,3 188,3 376,3 771,3 631,3 519,3 701,3 672,3 598,3 279,2 939,2 702,2 539,2 607,2 763,3 256,3 200,3 235,3 409,3 547,3 556,4 335,5 170
Suriname,111,121,100,97,126,92,117,101,88,93,101,94,92,88,91,82,84,83,80,74,57,55,37,43
Uruguay,397,397,468,493,532,526,509,476,458,447,390,389,360,365,353,384,410,433,444,407,453,395,414,398
Venezuela,5 125,5 217,5 627,5 333,5 575,5 279,4 792,4 523,4 446,4 678,4 958,5 491,6 281,6 158,7 022,7 890,8 267,8 540,8 371,7 760,6 855,6 122,5 317,4 210
Bahrain,542,562,601,451,444,377,373,392,394,431,415,409,438,459,467,474,469,475,451,422,406,362,387,371
Iran,1 885,1 844,2 216,2 258,2 321,2 251,2 420,2 795,3 060,3 533,4 731,5 626,6 982,8 744,10 194,11 338,12 269,12 643,12 783,12 142,11 451,9 614,9 295,10 812
Iraq,112,155,147,127,120,142,190,262,307,359,423,616,809,1 074,1 491,1 727,1 901,1 698,1 438,1 237,965,771,597,544
Israel,3 238,3 402,3 458,3 521,3 474,3 323,3 419,3 269,3 004,3 060,2 778,2 701,2 490,2 430,2 457,2 370,2 343,2 393,2 327,2 392,2 226,1 844,2 027,2 019
Jordan,2 074,2 187,2 417,2 173,1 853,1 754,1 733,1 726,1 799,2 225,1 995,2 002,2 062,2 109,2 148,2 215,2 330,2 312,2 420,2 435,2 441,2 338,2 426,2 608
Kuwait,3 298,3 045,2 966,2 212,1 846,1 720,1 703,1 633,1 823,2 031,2 442,2 998,3 722,5 115,7 288,9 034,9 772,9 825,10 190,9 195,8 375,6 846,5 923,5 427
Lebanon,1 582,2 005,2 435,2 364,2 179,2 040,1 950,1 852,1 807,1 823,1 608,1 462,1 350,1 266,1 367,1 416,1 486,1 556,1 633,1 672,1 709,1 700,1 958,2 097
Oman,661,702,623,540,445,354,337,254,361,271,286,313,538,980,1 504,2 200,2 856,2 876,3 097,2 963,2 808,2 433,2 202,2 077
Palestinian Territories,209,237,232,287,247,268,309,361,249,362,304,331,331,319,429,458,468,423,480,468,478,424,485,457
